Salt,Structure,Theory,Metal Basis Set,Halide Basis Set,Lattice Energy,a(0 K) [Angstrom],b(0 K) [Angstrom],c(0 K) [Angstrom],a(298 K) [Angstrom],b(298 K) [Angstrom],c(298 K) [Angstrom],Metal x,Metal y,Metal z,Halide x,Halide y,Halide z
LiCl,Wurtzite,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-8.43E+02,3.889375,3.889375,6.308099,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-8.00E+02,5.541334,7.753506,4.476489,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiBr,NiAs,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-8.09E+02,3.801669,3.801669,6.392487,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-8.10E+02,5.437434,5.437434,5.437434,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-8.00E+02,4.143192,4.143192,4.143192,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-8.00E+02,4.151929,4.151929,6.74708,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-7.50E+02,6.138868,8.436072,4.870568,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-7.61E+02,4.174397,4.174397,6.88722,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-7.61E+02,5.937216,5.937216,5.937216,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-7.52E+02,4.523464,4.523464,4.523464,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-7.53E+02,4.526041,4.526041,7.383845,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
NaCl,FiveFive,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-7.76E+02,5.548152,8.15135,4.706184,,,,0.25,0.166667,0.5,0.25,0.333333,0
NaCl,NiAs,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-7.82E+02,3.866114,3.866114,6.734812,,,,0,0,0,0.333333,0.666667,0.25
NaCl,Rocksalt,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-7.87E+02,5.579989,5.579989,5.579989,,,,0,0,0,0.5,0.5,0.5
NaCl,Sphalerite,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-7.65E+02,4.356514,4.356514,4.356514,,,,0,0,0,0.25,0.25,0.25
NaCl,Wurtzite,PBEsol-rVV10,pob_TZVP,Sapporo-QZP,-7.67E+02,4.370973,4.370973,7.062181,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,PBEsol-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.02E+02,5.516665,7.734553,4.465546,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiBr,NiAs,PBEsol-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.11E+02,3.779825,3.779825,6.373983,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,PBEsol-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.12E+02,5.411571,5.411571,5.411571,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,PBEsol-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.01E+02,4.131355,4.131355,4.131355,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,PBEsol-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.01E+02,4.173381,4.173381,6.617808,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,PBEsol-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.54E+02,6.065281,8.389722,4.843808,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,PBEsol-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.64E+02,4.136754,4.136754,6.838029,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,PBEsol-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.64E+02,5.887758,5.887758,5.887758,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,PBEsol-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.55E+02,4.492361,4.492361,4.492361,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,PBEsol-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.55E+02,4.510459,4.510459,7.282133,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiF,FiveFive,SCAN,pob_TZVP,Sapporo-QZP,-1.03E+03,4.00458,5.730596,3.308561,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiF,NiAs,SCAN,pob_TZVP,Sapporo-QZP,-1.03E+03,2.782498,2.782498,4.816654,,,,0,0,0,0.333333,0.666667,0.25
LiF,Rocksalt,SCAN,pob_TZVP,Sapporo-QZP,-1.04E+03,4.009104,4.009104,4.009104,,,,0,0,0,0.5,0.5,0.5
LiF,Sphalerite,SCAN,pob_TZVP,Sapporo-QZP,-1.03E+03,3.057872,3.057872,3.057872,,,,0,0,0,0.25,0.25,0.25
LiF,Wurtzite,SCAN,pob_TZVP,Sapporo-QZP,-1.03E+03,3.068156,3.068156,4.943009,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiCl,FiveFive,SCAN,pob_TZVP,Sapporo-QZP,-8.40E+02,5.221065,7.290387,4.209107,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiCl,NiAs,SCAN,pob_TZVP,Sapporo-QZP,-8.43E+02,3.588895,3.588895,6.073335,,,,0,0,0,0.333333,0.666667,0.25
LiCl,Rocksalt,SCAN,pob_TZVP,Sapporo-QZP,-8.47E+02,5.138302,5.138302,5.138302,,,,0,0,0,0.5,0.5,0.5
LiCl,Sphalerite,SCAN,pob_TZVP,Sapporo-QZP,-8.41E+02,3.893263,3.893263,3.893263,,,,0,0,0,0.25,0.25,0.25
LiCl,Wurtzite,SCAN,pob_TZVP,Sapporo-QZP,-8.42E+02,3.907361,3.907361,6.326696,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,SCAN,pob_TZVP,Sapporo-QZP,-7.89E+02,5.759722,7.74883,4.473789,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiBr,NiAs,SCAN,pob_TZVP,Sapporo-QZP,-7.92E+02,3.875381,3.875381,6.507491,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,SCAN,pob_TZVP,Sapporo-QZP,-7.94E+02,5.521717,5.521717,5.521717,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,SCAN,pob_TZVP,Sapporo-QZP,-7.94E+02,4.177911,4.177911,4.177911,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,SCAN,pob_TZVP,Sapporo-QZP,-7.91E+02,4.184061,4.184061,6.817848,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,SCAN,pob_TZVP,Sapporo-QZP,-7.30E+02,6.441843,8.491438,4.902534,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,SCAN,pob_TZVP,Sapporo-QZP,-7.33E+02,4.304105,4.304105,7.083571,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,SCAN,pob_TZVP,Sapporo-QZP,-7.32E+02,6.099831,6.099831,6.099831,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,SCAN,pob_TZVP,Sapporo-QZP,-7.35E+02,4.600765,4.600765,4.600765,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,SCAN,pob_TZVP,Sapporo-QZP,-7.37E+02,4.620889,4.620889,7.476803,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
NaCl,FiveFive,SCAN,pob_TZVP,Sapporo-QZP,-7.84E+02,5.531434,8.163993,4.713483,,,,0.25,0.166667,0.5,0.25,0.333333,0
NaCl,NiAs,SCAN,pob_TZVP,Sapporo-QZP,-7.91E+02,3.863016,3.863016,6.778284,,,,0,0,0,0.333333,0.666667,0.25
NaCl,Rocksalt,SCAN,pob_TZVP,Sapporo-QZP,-7.97E+02,5.583483,5.583483,5.583483,,,,0,0,0,0.5,0.5,0.5
NaCl,Sphalerite,SCAN,pob_TZVP,Sapporo-QZP,-7.74E+02,4.342986,4.342986,4.342986,,,,0,0,0,0.25,0.25,0.25
NaCl,Wurtzite,SCAN,pob_TZVP,Sapporo-QZP,-7.74E+02,4.351623,4.351623,7.061146,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,SCAN-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.91E+02,5.663704,7.729935,4.46288,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiBr,NiAs,SCAN-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.95E+02,3.848461,3.848461,6.518744,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,SCAN-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.97E+02,5.496884,5.496884,5.496884,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,SCAN-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.89E+02,4.164915,4.164915,4.164915,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,SCAN-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.94E+02,4.196039,4.196039,6.75281,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,SCAN-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.34E+02,6.337004,8.476392,4.893847,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,SCAN-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.34E+02,4.266699,4.266699,7.063677,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,SCAN-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.35E+02,6.072322,6.072322,6.072322,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,SCAN-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.37E+02,4.56053,4.56053,4.56053,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,SCAN-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.37E+02,4.562636,4.562636,7.413784,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiF,FiveFive,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-1.04E+03,3.996396,5.713669,3.298788,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiF,NiAs,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-1.04E+03,2.774821,2.774821,4.794152,,,,0,0,0,0.333333,0.666667,0.25
LiF,Rocksalt,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-1.05E+03,3.997586,3.997586,3.997586,,,,0,0,0,0.5,0.5,0.5
LiF,Sphalerite,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-1.03E+03,3.049306,3.049306,3.049306,,,,0,0,0,0.25,0.25,0.25
LiF,Wurtzite,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-1.04E+03,3.059503,3.059503,4.931284,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiCl,FiveFive,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-8.50E+02,5.205728,7.256783,4.189705,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiCl,NiAs,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-8.54E+02,3.574264,3.574264,6.046411,,,,0,0,0,0.333333,0.666667,0.25
LiCl,Rocksalt,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-8.58E+02,5.117753,5.117753,5.117753,,,,0,0,0,0.5,0.5,0.5
LiCl,Sphalerite,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-8.49E+02,3.87718,3.87718,3.87718,,,,0,0,0,0.25,0.25,0.25
LiCl,Wurtzite,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-8.50E+02,3.890636,3.890636,6.299437,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-7.99E+02,5.727518,7.724019,4.459465,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiBr,NiAs,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-8.04E+02,3.841388,3.841388,6.507209,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-8.06E+02,5.496924,5.496924,5.496924,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-8.04E+02,4.157632,4.157632,4.157632,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-8.01E+02,4.164284,4.164284,6.77092,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-7.42E+02,6.361333,8.464767,4.887135,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-7.48E+02,4.279612,4.279612,7.024317,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-7.48E+02,6.071311,6.071311,6.071311,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-7.47E+02,4.573564,4.573564,4.573564,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-7.49E+02,4.588275,4.588275,7.446114,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
NaCl,FiveFive,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-7.93E+02,5.552675,8.087128,4.669106,,,,0.25,0.166667,0.5,0.25,0.333333,0
NaCl,NiAs,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-8.02E+02,3.843435,3.843435,6.748996,,,,0,0,0,0.333333,0.666667,0.25
NaCl,Rocksalt,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-8.08E+02,5.55729,5.55729,5.55729,,,,0,0,0,0.5,0.5,0.5
NaCl,Sphalerite,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-7.82E+02,4.323913,4.323913,4.323913,,,,0,0,0,0.25,0.25,0.25
NaCl,Wurtzite,SCAN-rVV10,pob_TZVP,Sapporo-QZP,-7.83E+02,4.333194,4.333194,7.030789,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,SCAN-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.02E+02,5.636748,7.689127,4.43932,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiBr,NiAs,SCAN-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.07E+02,3.824926,3.824926,6.487583,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,SCAN-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.10E+02,5.476319,5.476319,5.476319,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,SCAN-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.04E+02,4.136812,4.136812,4.136812,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,SCAN-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.04E+02,4.170357,4.170357,6.725567,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,SCAN-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.44E+02,6.245941,8.453804,4.880806,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,SCAN-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.50E+02,4.24231,4.24231,6.996624,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,SCAN-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.50E+02,6.029814,6.029814,6.029814,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,SCAN-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.49E+02,4.528477,4.528477,4.528477,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,SCAN-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.50E+02,4.533872,4.533872,7.366359,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiF,FiveFive,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-1.02E+03,4.065375,5.794001,3.345168,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiF,NiAs,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-1.02E+03,2.807872,2.807872,4.866858,,,,0,0,0,0.333333,0.666667,0.25
LiF,Rocksalt,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-1.02E+03,4.045819,4.045819,4.045819,,,,0,0,0,0.5,0.5,0.5
LiF,Sphalerite,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-1.01E+03,3.093156,3.093156,3.093156,,,,0,0,0,0.25,0.25,0.25
LiF,Wurtzite,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-1.01E+03,3.109283,3.109283,4.996111,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiCl,FiveFive,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-8.43E+02,5.148835,7.277913,4.201905,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiCl,NiAs,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-8.50E+02,3.544097,3.544097,6.015151,,,,0,0,0,0.333333,0.666667,0.25
LiCl,Rocksalt,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-8.52E+02,5.081981,5.081981,5.081981,,,,0,0,0,0.5,0.5,0.5
LiCl,Sphalerite,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-8.41E+02,3.886465,3.886465,3.886465,,,,0,0,0,0.25,0.25,0.25
LiCl,Wurtzite,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-8.42E+02,3.897571,3.897571,6.316388,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-8.02E+02,5.53727,7.752377,4.475837,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiBr,NiAs,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-8.11E+02,3.791787,3.791787,6.373423,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-8.12E+02,5.423037,5.423037,5.423037,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-8.00E+02,4.146756,4.146756,4.146756,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-8.01E+02,4.156411,4.156411,6.749176,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-7.55E+02,6.095269,8.423167,4.863118,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-7.68E+02,4.14673,4.14673,6.831756,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-7.67E+02,5.895123,5.895123,5.895123,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-7.55E+02,4.51601,4.51601,4.51601,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-7.56E+02,4.51912,4.51912,7.366989,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
NaCl,FiveFive,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-7.75E+02,5.566333,8.169612,4.716728,,,,0.25,0.166667,0.5,0.25,0.333333,0
NaCl,NiAs,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-7.82E+02,3.871524,3.871524,6.744327,,,,0,0,0,0.333333,0.666667,0.25
NaCl,Rocksalt,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-7.87E+02,5.587955,5.587955,5.587955,,,,0,0,0,0.5,0.5,0.5
NaCl,Sphalerite,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-7.65E+02,4.370636,4.370636,4.370636,,,,0,0,0,0.25,0.25,0.25
NaCl,Wurtzite,SG4-rVV10m,pob_TZVP,Sapporo-QZP,-7.67E+02,4.38569,4.38569,7.082995,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,SG4-rVV10m-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.03E+02,5.51257,7.731851,4.463986,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiBr,NiAs,SG4-rVV10m-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.13E+02,3.769307,3.769307,6.353779,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,SG4-rVV10m-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.14E+02,5.396314,5.396314,5.396314,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,SG4-rVV10m-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.01E+02,4.134337,4.134337,4.134337,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,SG4-rVV10m-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.02E+02,4.183179,4.183179,6.597503,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,SG4-rVV10m-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.58E+02,6.024082,8.37227,4.833733,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,SG4-rVV10m-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.72E+02,4.102918,4.102918,6.772613,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,SG4-rVV10m-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.71E+02,5.836797,5.836797,5.836797,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,SG4-rVV10m-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.58E+02,4.484012,4.484012,4.484012,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,SG4-rVV10m-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.58E+02,4.509941,4.509941,7.239363,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiF,FiveFive,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-1.04E+03,4.022184,5.721528,3.303326,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiF,NiAs,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-1.05E+03,2.77735,2.77735,4.806949,,,,0,0,0,0.333333,0.666667,0.25
LiF,Rocksalt,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-1.06E+03,4.001028,4.001028,4.001028,,,,0,0,0,0.5,0.5,0.5
LiF,Sphalerite,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-1.04E+03,3.054827,3.054827,3.054827,,,,0,0,0,0.25,0.25,0.25
LiF,Wurtzite,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-1.04E+03,3.069325,3.069325,4.942353,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiCl,FiveFive,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-8.58E+02,5.213877,7.213362,4.164637,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiCl,NiAs,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-8.66E+02,3.558451,3.558451,6.01432,,,,0,0,0,0.333333,0.666667,0.25
LiCl,Rocksalt,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-8.69E+02,5.094647,5.094647,5.094647,,,,0,0,0,0.5,0.5,0.5
LiCl,Sphalerite,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-8.59E+02,3.862302,3.862302,3.862302,,,,0,0,0,0.25,0.25,0.25
LiCl,Wurtzite,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-8.60E+02,3.871793,3.871793,6.287449,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-8.12E+02,5.659912,7.702358,4.446959,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiBr,NiAs,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-8.21E+02,3.828277,3.828277,6.417175,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-8.22E+02,5.469394,5.469394,5.469394,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-8.15E+02,4.134947,4.134947,4.134947,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-8.15E+02,4.142979,4.142979,6.739982,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-7.57E+02,6.364524,8.396176,4.847535,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-7.67E+02,4.226138,4.226138,6.982634,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-7.67E+02,6.012399,6.012399,6.012399,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-7.63E+02,4.53904,4.53904,4.53904,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-7.63E+02,4.540631,4.540631,7.421065,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
NaCl,FiveFive,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-7.91E+02,5.538498,8.116448,4.686033,,,,0.25,0.166667,0.5,0.25,0.333333,0
NaCl,NiAs,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-8.03E+02,3.855603,3.855603,6.702969,,,,0,0,0,0.333333,0.666667,0.25
NaCl,Rocksalt,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-8.08E+02,5.560585,5.560585,5.560585,,,,0,0,0,0.5,0.5,0.5
NaCl,Sphalerite,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-7.79E+02,4.335823,4.335823,4.335823,,,,0,0,0,0.25,0.25,0.25
NaCl,Wurtzite,TMTPSS-rVV10L,pob_TZVP,Sapporo-QZP,-7.80E+02,4.351256,4.351256,7.029565,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
