Salt,Structure,Theory,Metal Basis Set,Halide Basis Set,Lattice Energy,a(0 K) [Angstrom],b(0 K) [Angstrom],c(0 K) [Angstrom],a(298 K) [Angstrom],b(298 K) [Angstrom],c(298 K) [Angstrom],Metal x,Metal y,Metal z,Halide x,Halide y,Halide z
LiCl,Rocksalt,PBE-D3,pob_TZVP,Sapporo-QZP,-8.71E+02,5.073714,5.073714,5.073714,,,,0,0,0,0.5,0.5,0.5
LiCl,Sphalerite,PBE-D3,pob_TZVP,Sapporo-QZP,-8.61E+02,3.861315,3.861315,3.861315,,,,0,0,0,0.25,0.25,0.25
LiCl,Wurtzite,PBE-D3,pob_TZVP,Sapporo-QZP,-8.61E+02,3.869992,3.869992,6.286009,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,PBE-D3,pob_TZVP,Sapporo-QZP,-8.17E+02,5.608909,7.679475,4.433747,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiBr,NiAs,PBE-D3,pob_TZVP,Sapporo-QZP,-8.26E+02,3.797998,3.797998,6.375466,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,PBE-D3,pob_TZVP,Sapporo-QZP,-8.28E+02,5.430502,5.430502,5.430502,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,PBE-D3,pob_TZVP,Sapporo-QZP,-8.18E+02,4.125575,4.125575,4.125575,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,PBE-D3,pob_TZVP,Sapporo-QZP,-8.19E+02,4.133164,4.133164,6.724752,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,PBE-D3,pob_TZVP,Sapporo-QZP,-7.68E+02,6.221173,8.355497,4.824048,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,PBE-D3,pob_TZVP,Sapporo-QZP,-7.80E+02,4.168504,4.168504,6.87253,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,PBE-D3,pob_TZVP,Sapporo-QZP,-7.79E+02,5.927025,5.927025,5.927025,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,PBE-D3,pob_TZVP,Sapporo-QZP,-7.71E+02,4.504355,4.504355,4.504355,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,PBE-D3,pob_TZVP,Sapporo-QZP,-7.72E+02,4.506195,4.506195,7.358143,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
NaCl,FiveFive,PBE-D3,pob_TZVP,Sapporo-QZP,-7.94E+02,5.574733,8.117063,4.686388,,,,0.25,0.166667,0.5,0.25,0.333333,0
NaCl,NiAs,PBE-D3,pob_TZVP,Sapporo-QZP,-8.04E+02,3.864028,3.864028,6.717558,,,,0,0,0,0.333333,0.666667,0.25
NaCl,Rocksalt,PBE-D3,pob_TZVP,Sapporo-QZP,-8.09E+02,5.575515,5.575515,5.575515,,,,0,0,0,0.5,0.5,0.5
NaCl,Sphalerite,PBE-D3,pob_TZVP,Sapporo-QZP,-7.84E+02,4.345004,4.345004,4.345004,,,,0,0,0,0.25,0.25,0.25
NaCl,Wurtzite,PBE-D3,pob_TZVP,Sapporo-QZP,-7.86E+02,4.357936,4.357936,7.050709,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,PBE-D3-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.19E+02,5.578413,7.658752,4.421782,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiBr,NiAs,PBE-D3-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.29E+02,3.776075,3.776075,6.35411,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,PBE-D3-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.30E+02,5.403947,5.403947,5.403947,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,PBE-D3-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.20E+02,4.112375,4.112375,4.112375,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,PBE-D3-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.20E+02,4.141252,4.141252,6.633841,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,PBE-D3-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.72E+02,6.13903,8.30251,4.793457,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,PBE-D3-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.84E+02,4.125475,4.125475,6.812642,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,PBE-D3-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.84E+02,5.869418,5.869418,5.869418,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,PBE-D3-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.75E+02,4.469432,4.469432,4.469432,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,PBE-D3-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.75E+02,4.477348,4.477348,7.278698,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,PBE-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.81E+02,5.694329,7.847085,4.530517,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiBr,NiAs,PBE-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.81E+02,3.875664,3.875664,6.52341,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,PBE-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.83E+02,5.545887,5.545887,5.545887,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,PBE-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.83E+02,4.213713,4.213713,4.213713,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,PBE-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.84E+02,4.242359,4.242359,6.797335,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,PBE-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.29E+02,6.318923,8.51035,4.913453,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,PBE-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.31E+02,4.250295,4.250295,7.026531,,,,0,0,0,0.333333,0.666667,0.25
