2.600000	-852.838113
2.700000	-854.359955
2.800000	-855.578847
2.900000	-856.556781
3.000000	-857.341131
3.100000	-857.971030
3.200000	-858.474698
3.300000	-858.877269
3.400000	-859.197794
3.500000	-859.451318
3.600000	-859.650940
3.700000	-859.805778
3.800000	-859.924487
3.900000	-860.013911
4.000000	-860.078362
4.100000	-860.123914
4.200000	-860.152870
4.300000	-860.168855
4.400000	-860.173927
4.500000	-860.170049
4.600000	-860.159555
4.700000	-860.143040
4.800000	-860.122457
4.900000	-860.097853
5.000000	-860.070528
5.100000	-860.041037
5.200000	-860.009522
5.300000	-859.977128
5.400000	-859.943659
5.500000	-859.909596
5.600000	-859.875040
5.700000	-859.841146
5.800000	-859.806744
5.900000	-859.772350
6.000000	-859.738520
6.100000	-859.704544
6.200000	-859.671256
6.300000	-859.638371
6.400000	-859.606155
6.500000	-859.574585
6.600000	-859.543508
6.700000	-859.512414
6.800000	-859.482423
6.900000	-859.453307
7.000000	-859.424116
